Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/chat,57,0,250,370.57917901756394,186.5898040000502,3436.3957390000905,59.78947368421053,0.9654206640071638,0.0,250,290,330,380,490,560,2000,3400,3400,3400,3400
GET,/api/models,119,0,21,20.920053890764972,13.412322000021959,39.01816500001587,347.0,2.0155273511728504,0.0,21,23,24,24,26,29,35,37,39,39,39
GET,/health,194,0,3,3.2668832061845774,0.8077600000433449,16.842666000002282,50.0,3.2858176985506975,0.0,3,4,4,5,5,6,11,16,17,17,17
,Aggregated,370,0,6,65.53047286216753,0.8077600000433449,3436.3957390000905,147.02972972972972,6.266765713730711,0.0,6,20,24,25,230,310,470,540,3400,3400,3400
